waypoint1	waypoint2	distance_m	duration_s
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1707639	60760
Liberty Bell, 6th Street, Philadelphia, PA	Mount Vernon, Fairfax County, Virginia	242315	9623
Maryland State House, 100 State Cir, Annapolis, MD 21401	Carlsbad Caverns National Park, Carlsbad, NM	2967641	98801
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	582376	21838
The Breakers, Ochre Point Avenue, Newport, RI	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2289351	77556
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	2170527	73022
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Yellowstone National Park, WY 82190	3720299	126745
Congress Hall, Congress Place, Cape May, NJ 08204	Fort Snelling, Tower Avenue, Saint Paul, MN	2024251	67953
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Lost World Caverns, Lewisburg, WV	509754	18998
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2696111	90366
Lost World Caverns, Lewisburg, WV	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4293941	140850
White House, Pennsylvania Avenue Northwest, Washington, DC	New Castle Historic District, Delaware	181678	7437
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Pikes Peak, Colorado	1935655	65109
