waypoint1	waypoint2	distance_m	duration_s
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	New Castle Historic District, Delaware	762991	26924
Hanford Site, Benton County, WA	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	3463397	114329
Congress Hall, Congress Place, Cape May, NJ 08204	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4775312	156638
Maryland State House, 100 State Cir, Annapolis, MD 21401	Shelburne Farms, Harbor Road, Shelburne, VT	800281	29385
Taliesin, County Road C, Spring Green, Wisconsin	Grand Canyon National Park, Arizona	2593900	87165
USS Constitution, Boston, MA	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1670909	57120
Fort Sumter National Monument, Sullivan's Island, SC	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1483614	49313
Taliesin, County Road C, Spring Green, Wisconsin	Pikes Peak, Colorado	1664222	55665
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Hanford Site, Benton County, WA	1701479	58461
Liberty Bell, 6th Street, Philadelphia, PA	New Castle Historic District, Delaware	59341	2773
Toltec Mounds, Scott, AR	Maryland State House, 100 State Cir, Annapolis, MD 21401	1682244	55905
San Andreas Fault, San Benito County, CA	White House, Pennsylvania Avenue Northwest, Washington, DC	4409640	146311
Congress Hall, Congress Place, Cape May, NJ 08204	Olympia Entertainment, Woodward Avenue, Detroit, MI	1103096	37377
Terrace Hill, Grand Avenue, Des Moines, IA	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1884820	63595
USS Alabama, Battleship Parkway, Mobile, AL	Fort Snelling, Tower Avenue, Saint Paul, MN	1870579	66078
Wright Brothers National Memorial Visitor Center, Manteo, NC	Fort Snelling, Tower Avenue, Saint Paul, MN	2206555	75055
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	2353206	77878
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1167155	39588
New Castle Historic District, Delaware	Acadia National Park, Maine	971400	34428
Hoover Dam, NV	Mount Vernon, Fairfax County, Virginia	3903490	127115
Taliesin, County Road C, Spring Green, Wisconsin	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	939060	32721
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	USS Constitution, Boston, MA	2357357	78816
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Grand Canyon National Park, Arizona	4064112	133685
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1426461	47765
San Andreas Fault, San Benito County, CA	Vicksburg National Military Park, Clay Street, Vicksburg, MS	3001144	100402
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Fort Sumter National Monument, Sullivan's Island, SC	1172153	39090
Terrace Hill, Grand Avenue, Des Moines, IA	Pikes Peak, Colorado	1234897	41044
Statue of Liberty, Liberty Island, NYC, NY	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1271222	44742
Fort Sumter National Monument, Sullivan's Island, SC	Fort Snelling, Tower Avenue, Saint Paul, MN	2121181	70308
Gateway Arch, Washington Avenue, St Louis, MO	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3302936	108284
Maryland State House, 100 State Cir, Annapolis, MD 21401	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4566658	149625
Maryland State House, 100 State Cir, Annapolis, MD 21401	Mount Vernon, Fairfax County, Virginia	75655	3647
Mount Vernon, Fairfax County, Virginia	Hanford Site, Benton County, WA	4263330	141455
New Castle Historic District, Delaware	The Alamo, Alamo Plaza, San Antonio, TX	2753570	90264
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Olympia Entertainment, Woodward Avenue, Detroit, MI	2178135	71398
Wright Brothers National Memorial Visitor Center, Manteo, NC	Fort Sumter National Monument, Sullivan's Island, SC	734165	25024
USS Constitution, Boston, MA	Grand Canyon National Park, Arizona	4250035	139493
Taliesin, County Road C, Spring Green, Wisconsin	Cape Canaveral, FL	2250513	72707
French Quarter, New Orleans, LA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1245257	40704
Mount Vernon, Fairfax County, Virginia	Lost World Caverns, Lewisburg, WV	421530	15045
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Grand Canyon National Park, Arizona	4328403	144779
New Castle Historic District, Delaware	Pikes Peak, Colorado	2815413	95449
Lost World Caverns, Lewisburg, WV	USS Constitution, Boston, MA	1128517	38779
Terrace Hill, Grand Avenue, Des Moines, IA	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2177939	75703
USS Alabama, Battleship Parkway, Mobile, AL	Pikes Peak, Colorado	2160261	75495
USS Alabama, Battleship Parkway, Mobile, AL	French Quarter, New Orleans, LA	235205	7906
Craters of the Moon National Monument & Preserve, Arco, ID	White House, Pennsylvania Avenue Northwest, Washington, DC	3680832	126780
Graceland, Elvis Presley Boulevard, Memphis, TN	Lost World Caverns, Lewisburg, WV	1113390	37302
Carlsbad Caverns National Park, Carlsbad, NM	The Breakers, Ochre Point Avenue, Newport, RI	3551645	119551
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	509653	17122
Mount Vernon, Fairfax County, Virginia	Pikes Peak, Colorado	2716466	92408
Congress Hall, Congress Place, Cape May, NJ 08204	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1415588	48544
Graceland, Elvis Presley Boulevard, Memphis, TN	Grand Canyon National Park, Arizona	2288935	74130
USS Alabama, Battleship Parkway, Mobile, AL	San Andreas Fault, San Benito County, CA	3469468	112859
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	1591087	54512
Lost World Caverns, Lewisburg, WV	Congress Hall, Congress Place, Cape May, NJ 08204	721301	26238
Cape Canaveral, FL	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1528279	49562
Wright Brothers National Memorial Visitor Center, Manteo, NC	Cape Canaveral, FL	1271978	41520
New Castle Historic District, Delaware	Congress Hall, Congress Place, Cape May, NJ 08204	135080	6415
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Glacier National Park, West Glacier, MT	1251927	45121
Graceland, Elvis Presley Boulevard, Memphis, TN	USS Constitution, Boston, MA	2124652	71110
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Shelburne Farms, Harbor Road, Shelburne, VT	2211331	77655
New Castle Historic District, Delaware	Bryce Canyon National Park, Hwy 63, Bryce, UT	3655791	122603
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	909501	34755
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Bryce Canyon National Park, Hwy 63, Bryce, UT	3886533	129693
Maryland State House, 100 State Cir, Annapolis, MD 21401	Cape Canaveral, FL	1449025	46336
White House, Pennsylvania Avenue Northwest, Washington, DC	Ashfall Fossil Bed, Royal, NE	2105045	71465
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Fort Snelling, Tower Avenue, Saint Paul, MN	2315717	80528
Olympia Entertainment, Woodward Avenue, Detroit, MI	Columbia River Gorge National Scenic Area, Oregon	3681675	120446
Taliesin, County Road C, Spring Green, Wisconsin	Wright Brothers National Memorial Visitor Center, Manteo, NC	1848801	64145
Hanford Site, Benton County, WA	Yellowstone National Park, WY 82190	1369190	50340
Acadia National Park, Maine	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	5419561	178915
Craters of the Moon National Monument & Preserve, Arco, ID	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	3770507	129635
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	354689	15934
Cape Canaveral, FL	New Castle Historic District, Delaware	1571054	51269
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	The Alamo, Alamo Plaza, San Antonio, TX	1949331	64486
Congress Hall, Congress Place, Cape May, NJ 08204	Columbia River Gorge National Scenic Area, Oregon	4605003	151819
USS Alabama, Battleship Parkway, Mobile, AL	Shelburne Farms, Harbor Road, Shelburne, VT	2378439	80286
The Alamo, Alamo Plaza, San Antonio, TX	Glacier National Park, West Glacier, MT	3055544	102722
Statue of Liberty, Liberty Island, NYC, NY	Ashfall Fossil Bed, Royal, NE	2251570	76130
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3747089	123980
Lost World Caverns, Lewisburg, WV	The Breakers, Ochre Point Avenue, Newport, RI	1061938	37874
Shelburne Farms, Harbor Road, Shelburne, VT	Pikes Peak, Colorado	3153410	109382
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	1422688	48007
Maryland State House, 100 State Cir, Annapolis, MD 21401	Congress Hall, Congress Place, Cape May, NJ 08204	284787	11531
Mount Vernon, Fairfax County, Virginia	Craters of the Moon National Monument & Preserve, Arco, ID	3701262	126816
Liberty Bell, 6th Street, Philadelphia, PA	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4626873	151472
Toltec Mounds, Scott, AR	Olympia Entertainment, Woodward Avenue, Detroit, MI	1389206	45959
Lost World Caverns, Lewisburg, WV	Ashfall Fossil Bed, Royal, NE	1913389	65266
Congress Hall, Congress Place, Cape May, NJ 08204	French Quarter, New Orleans, LA	2045331	68683
Taliesin, County Road C, Spring Green, Wisconsin	New Castle Historic District, Delaware	1542832	53182
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Fort Snelling, Tower Avenue, Saint Paul, MN	1077488	35637
Hanford Site, Benton County, WA	Glacier National Park, West Glacier, MT	685674	25615
Hanford Site, Benton County, WA	Congress Hall, Congress Place, Cape May, NJ 08204	4487499	148818
New Castle Historic District, Delaware	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1185465	40630
Graceland, Elvis Presley Boulevard, Memphis, TN	Pikes Peak, Colorado	1720260	60095
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Ashfall Fossil Bed, Royal, NE	2289652	77209
San Andreas Fault, San Benito County, CA	USS Constitution, Boston, MA	4918775	163335
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Mount Vernon, Fairfax County, Virginia	2193450	72852
San Andreas Fault, San Benito County, CA	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	4997143	168621
Maryland State House, 100 State Cir, Annapolis, MD 21401	Pikes Peak, Colorado	2731094	92553
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	964406	32906
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	San Andreas Fault, San Benito County, CA	2716215	90311
San Andreas Fault, San Benito County, CA	Yellowstone National Park, WY 82190	2061119	74646
Wright Brothers National Memorial Visitor Center, Manteo, NC	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1666834	54979
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Craters of the Moon National Monument & Preserve, Arco, ID	3988191	136870
Graceland, Elvis Presley Boulevard, Memphis, TN	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	671472	22400
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Fort Sumter National Monument, Sullivan's Island, SC	3180680	104445
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Pikes Peak, Colorado	3377804	115828
Graceland, Elvis Presley Boulevard, Memphis, TN	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2292955	78641
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Vicksburg National Military Park, Clay Street, Vicksburg, MS	800393	26632
Mount Vernon, Fairfax County, Virginia	New Castle Historic District, Delaware	197678	8281
Pikes Peak, Colorado	French Quarter, New Orleans, LA	2026044	69394
Mount Vernon, Fairfax County, Virginia	The Alamo, Alamo Plaza, San Antonio, TX	2583429	84604
Ashfall Fossil Bed, Royal, NE	Fort Snelling, Tower Avenue, Saint Paul, MN	660136	24383
New Castle Historic District, Delaware	Fort Snelling, Tower Avenue, Saint Paul, MN	1898543	63988
Mount Vernon, Fairfax County, Virginia	Carlsbad Caverns National Park, Carlsbad, NM	2906292	96615
USS Alabama, Battleship Parkway, Mobile, AL	New Castle Historic District, Delaware	1724076	57484
Congress Hall, Congress Place, Cape May, NJ 08204	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1525290	51798
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Statue of Liberty, Liberty Island, NYC, NY	2988722	99250
Hanford Site, Benton County, WA	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	3530527	117558
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Ashfall Fossil Bed, Royal, NE	1400645	47111
The Breakers, Ochre Point Avenue, Newport, RI	USS Constitution, Boston, MA	121363	5514
Maryland State House, 100 State Cir, Annapolis, MD 21401	Liberty Bell, 6th Street, Philadelphia, PA	206315	7660
Lost World Caverns, Lewisburg, WV	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1342834	44729
Graceland, Elvis Presley Boulevard, Memphis, TN	Cape Canaveral, FL	1394351	45085
Taliesin, County Road C, Spring Green, Wisconsin	Craters of the Moon National Monument & Preserve, Arco, ID	2469772	86013
Hoover Dam, NV	Fort Sumter National Monument, Sullivan's Island, SC	3597289	117205
Yellowstone National Park, WY 82190	Glacier National Park, West Glacier, MT	978597	38726
Shelburne Farms, Harbor Road, Shelburne, VT	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1524883	55960
Maryland State House, 100 State Cir, Annapolis, MD 21401	Hanford Site, Benton County, WA	4280293	141794
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Grand Canyon National Park, Arizona	2886254	94060
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Cape Canaveral, FL	2048390	67633
White House, Pennsylvania Avenue Northwest, Washington, DC	Acadia National Park, Maine	1142111	40605
Toltec Mounds, Scott, AR	The Alamo, Alamo Plaza, San Antonio, TX	972883	32417
White House, Pennsylvania Avenue Northwest, Washington, DC	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1266413	43640
Fort Sumter National Monument, Sullivan's Island, SC	Yellowstone National Park, WY 82190	3559007	121107
San Andreas Fault, San Benito County, CA	Gateway Arch, Washington Avenue, St Louis, MO	3060110	102074
Craters of the Moon National Monument & Preserve, Arco, ID	French Quarter, New Orleans, LA	3254368	113197
Toltec Mounds, Scott, AR	USS Constitution, Boston, MA	2318662	78174
Pikes Peak, Colorado	Statue of Liberty, Liberty Island, NYC, NY	2905598	98438
Cape Canaveral, FL	French Quarter, New Orleans, LA	1112111	35322
New Castle Historic District, Delaware	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1386032	47567
Statue of Liberty, Liberty Island, NYC, NY	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4680629	153438
Hoover Dam, NV	Lost World Caverns, Lewisburg, WV	3543450	114971
Maryland State House, 100 State Cir, Annapolis, MD 21401	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1170109	38553
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	The Breakers, Ochre Point Avenue, Newport, RI	3273189	109396
USS Alabama, Battleship Parkway, Mobile, AL	Taliesin, County Road C, Spring Green, Wisconsin	1779436	57808
Shelburne Farms, Harbor Road, Shelburne, VT	USS Constitution, Boston, MA	351903	12525
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Acadia National Park, Maine	3729391	124914
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Acadia National Park, Maine	1830437	62791
The Breakers, Ochre Point Avenue, Newport, RI	Gateway Arch, Washington Avenue, St Louis, MO	1858312	63296
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1985396	69829
Taliesin, County Road C, Spring Green, Wisconsin	French Quarter, New Orleans, LA	1732177	56782
Fort Sumter National Monument, Sullivan's Island, SC	Acadia National Park, Maine	1997739	68372
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1682468	56563
Gateway Arch, Washington Avenue, St Louis, MO	Ashfall Fossil Bed, Royal, NE	971869	33834
Mount Vernon, Fairfax County, Virginia	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1078785	37447
Maryland State House, 100 State Cir, Annapolis, MD 21401	The Alamo, Alamo Plaza, San Antonio, TX	2640262	86348
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3679341	120714
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2879382	94513
USS Alabama, Battleship Parkway, Mobile, AL	Craters of the Moon National Monument & Preserve, Arco, ID	3427783	119270
Hoover Dam, NV	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	3101348	100705
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	White House, Pennsylvania Avenue Northwest, Washington, DC	556756	20409
Terrace Hill, Grand Avenue, Des Moines, IA	French Quarter, New Orleans, LA	1631750	54233
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Fort Sumter National Monument, Sullivan's Island, SC	2916349	99133
Wright Brothers National Memorial Visitor Center, Manteo, NC	USS Constitution, Boston, MA	1048615	39991
Fort Sumter National Monument, Sullivan's Island, SC	The Alamo, Alamo Plaza, San Antonio, TX	2059279	67373
USS Constitution, Boston, MA	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4988410	163927
Wright Brothers National Memorial Visitor Center, Manteo, NC	French Quarter, New Orleans, LA	1729715	56219
Cape Canaveral, FL	Fort Snelling, Tower Avenue, Saint Paul, MN	2606224	83513
Mount Vernon, Fairfax County, Virginia	Taliesin, County Road C, Spring Green, Wisconsin	1445113	50021
Taliesin, County Road C, Spring Green, Wisconsin	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	488548	16958
Toltec Mounds, Scott, AR	Bryce Canyon National Park, Hwy 63, Bryce, UT	2309401	77768
White House, Pennsylvania Avenue Northwest, Washington, DC	Columbia River Gorge National Scenic Area, Oregon	4358934	143689
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Cape Canaveral, FL	1325530	42880
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	The Alamo, Alamo Plaza, San Antonio, TX	3126763	102916
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Pikes Peak, Colorado	1224360	43897
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1244732	42184
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Yellowstone National Park, WY 82190	2153595	72385
Terrace Hill, Grand Avenue, Des Moines, IA	Olympia Entertainment, Woodward Avenue, Detroit, MI	966575	31942
Cape Canaveral, FL	Glacier National Park, West Glacier, MT	4468925	147651
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Vicksburg National Military Park, Clay Street, Vicksburg, MS	857947	28448
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Carlsbad Caverns National Park, Carlsbad, NM	2038954	68607
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1812143	63801
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Liberty Bell, 6th Street, Philadelphia, PA	1863399	62888
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Acadia National Park, Maine	2780867	93245
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Cape Canaveral, FL	3221081	107510
Terrace Hill, Grand Avenue, Des Moines, IA	Taliesin, County Road C, Spring Green, Wisconsin	431703	15166
Maryland State House, 100 State Cir, Annapolis, MD 21401	Glacier National Park, West Glacier, MT	3680488	125305
USS Alabama, Battleship Parkway, Mobile, AL	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	633797	21898
The Breakers, Ochre Point Avenue, Newport, RI	Wright Brothers National Memorial Visitor Center, Manteo, NC	991944	38627
Liberty Bell, 6th Street, Philadelphia, PA	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1866007	61950
Acadia National Park, Maine	Grand Canyon National Park, Arizona	4681186	154481
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1949178	67846
Fort Snelling, Tower Avenue, Saint Paul, MN	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1114049	38914
Hanford Site, Benton County, WA	Pikes Peak, Colorado	1956811	66845
Hoover Dam, NV	Graceland, Elvis Presley Boulevard, Memphis, TN	2504029	80775
New Castle Historic District, Delaware	Statue of Liberty, Liberty Island, NYC, NY	189639	6791
Toltec Mounds, Scott, AR	Craters of the Moon National Monument & Preserve, Arco, ID	2726887	93286
Hoover Dam, NV	Grand Canyon National Park, Arizona	398815	13776
Yellowstone National Park, WY 82190	French Quarter, New Orleans, LA	3030392	103708
Statue of Liberty, Liberty Island, NYC, NY	Olympia Entertainment, Woodward Avenue, Detroit, MI	1008413	34177
Fort Sumter National Monument, Sullivan's Island, SC	Ashfall Fossil Bed, Royal, NE	2348269	78670
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	New Castle Historic District, Delaware	929252	32500
Mount Vernon, Fairfax County, Virginia	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1094343	37525
Hanford Site, Benton County, WA	The Alamo, Alamo Plaza, San Antonio, TX	3136161	106869
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	1231647	41751
Shelburne Farms, Harbor Road, Shelburne, VT	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4842384	162767
French Quarter, New Orleans, LA	Glacier National Park, West Glacier, MT	3644096	122915
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Lost World Caverns, Lewisburg, WV	2464522	85257
USS Alabama, Battleship Parkway, Mobile, AL	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	854453	27981
Pikes Peak, Colorado	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1493938	50991
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	1986391	69453
USS Alabama, Battleship Parkway, Mobile, AL	White House, Pennsylvania Avenue Northwest, Washington, DC	1549080	51205
Toltec Mounds, Scott, AR	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	722952	25165
Craters of the Moon National Monument & Preserve, Arco, ID	Bryce Canyon National Park, Hwy 63, Bryce, UT	920718	33996
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2210250	73934
Acadia National Park, Maine	Glacier National Park, West Glacier, MT	4533658	154702
Toltec Mounds, Scott, AR	Liberty Bell, 6th Street, Philadelphia, PA	1842920	61417
Liberty Bell, 6th Street, Philadelphia, PA	Graceland, Elvis Presley Boulevard, Memphis, TN	1634948	54422
Terrace Hill, Grand Avenue, Des Moines, IA	New Castle Historic District, Delaware	1763019	59360
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	New Castle Historic District, Delaware	2772773	95552
The Breakers, Ochre Point Avenue, Newport, RI	Cape Canaveral, FL	2047276	68200
Terrace Hill, Grand Avenue, Des Moines, IA	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1340912	45303
Carlsbad Caverns National Park, Carlsbad, NM	Yellowstone National Park, WY 82190	1916506	66224
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Yellowstone National Park, WY 82190	3949904	134791
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Ashfall Fossil Bed, Royal, NE	1415090	49502
USS Constitution, Boston, MA	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1820757	61569
Shelburne Farms, Harbor Road, Shelburne, VT	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1587749	57354
Maryland State House, 100 State Cir, Annapolis, MD 21401	Fort Snelling, Tower Avenue, Saint Paul, MN	1817787	61167
Taliesin, County Road C, Spring Green, Wisconsin	Ashfall Fossil Bed, Royal, NE	749331	27887
Gateway Arch, Washington Avenue, St Louis, MO	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	377732	12920
Craters of the Moon National Monument & Preserve, Arco, ID	Olympia Entertainment, Woodward Avenue, Detroit, MI	3004645	102789
Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	Glacier National Park, West Glacier, MT	3157472	107666
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	San Andreas Fault, San Benito County, CA	4768577	158275
USS Constitution, Boston, MA	Columbia River Gorge National Scenic Area, Oregon	4818374	158912
Maryland State House, 100 State Cir, Annapolis, MD 21401	USS Constitution, Boston, MA	689955	24556
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Gateway Arch, Washington Avenue, St Louis, MO	1996063	69312
USS Constitution, Boston, MA	Yellowstone National Park, WY 82190	3872380	131878
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Yellowstone National Park, WY 82190	1761360	62371
Wright Brothers National Memorial Visitor Center, Manteo, NC	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	993062	33737
Yellowstone National Park, WY 82190	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2560924	88574
Wright Brothers National Memorial Visitor Center, Manteo, NC	Statue of Liberty, Liberty Island, NYC, NY	695893	27368
Craters of the Moon National Monument & Preserve, Arco, ID	Fort Snelling, Tower Avenue, Saint Paul, MN	2150043	74595
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Olympia Entertainment, Woodward Avenue, Detroit, MI	429125	14728
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1000344	32762
Graceland, Elvis Presley Boulevard, Memphis, TN	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	787955	26170
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Glacier National Park, West Glacier, MT	2759835	90835
Lost World Caverns, Lewisburg, WV	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1022397	35277
The Breakers, Ochre Point Avenue, Newport, RI	Fort Snelling, Tower Avenue, Saint Paul, MN	2213690	75259
Congress Hall, Congress Place, Cape May, NJ 08204	Bryce Canyon National Park, Hwy 63, Bryce, UT	3794074	126909
